Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 12:03:54,2019-07-25 12:04:56,1m - 2.428s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 12:03:54,2019-07-25 12:04:05,11.387s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 12:03:54,2019-07-25 12:03:59,4.879s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 12:03:59,2019-07-25 12:03:59,0.035s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 12:03:59,2019-07-25 12:04:01,1.697s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 12:04:01,2019-07-25 12:04:01,0.342s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 12:04:01,2019-07-25 12:04:02,1.188s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 12:04:02,2019-07-25 12:04:04,1.138s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 12:04:04,2019-07-25 12:04:04,0.261s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 12:04:04,2019-07-25 12:04:04,0.261s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 12:04:04,2019-07-25 12:04:04,0.068s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 12:04:04,2019-07-25 12:04:04,0.237s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 12:04:04,2019-07-25 12:04:05,0.954s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 12:04:05,2019-07-25 12:04:12,6.397s,PASSED
